model_number,product_specs
 HS834-0,"[""COLOR"", ""frost"", ""smoke"", ""steel blue""]"
 HS834-0,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS834-0,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS834-0,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS860-1,"[""COLOR"", ""rubberized gray/blue"", ""rubberized gray/copper"", ""rubberized gray/gold"", ""rubberized gray/platinum"", ""rubberized white/blue"", ""rubberized white/copper"", ""rubberized white/gold"", ""rubberized white/platinum""]"
 HS860-1,"[""FINISHES"", ""satin nickel""]"
 HS860-1,"[""LAMP"", ""mr16 halogen 35w"", ""led mr16 8w 95 cri 3000k""]"
 HS860-1,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS859-2,"[""COLOR"", ""black"", ""copper"", ""silver""]"
 HS859-2,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS859-2,"[""LAMP"", ""gy6.35 xenon 50w""]"
 HS859-2,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS848-3,"[""COLOR"", ""rubberized black"", ""rubberized white"", ""satin nickel""]"
 HS848-3,"[""GLASS COLOR"", ""cast clear"", ""cast smoke"", ""frost""]"
 HS848-3,"[""FINISHES"", ""satin nickel""]"
 HS848-3,"[""LAMP"", ""led module 9w 80 cri 3000k""]"
 HS848-3,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS884-4,"[""COLOR"", ""gold""]"
 HS884-4,"[""FINISHES"", ""satin nickel""]"
 HS884-4,"[""LAMP"", ""led mr16 8w 95 cri 3000k""]"
 HS884-4,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS699-5,"[""COLOR"", ""rubberized black exterior/black crystal interior"", ""rubberized black exterior/clear crystal interior"", ""rubberized black exterior/gold crystal interior"", ""satin nickel exterior/black crystal interior"", ""satin nickel exterior/clear crystal interior"", ""satin nickel exterior/gold crystal interior"", ""satin nickel exterior/orange crystal interior""]"
 HS699-5,"[""FINISHES"", ""satin nickel""]"
 HS699-5,"[""LAMP"", ""led module 6w""]"
 HS699-5,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS678-6,"[""COLOR"", ""clear crystal"", ""golden shadow crystal"", ""jet crystal""]"
 HS678-6,"[""FINISHES"", ""satin nickel""]"
 HS678-6,"[""LAMP"", ""mr16 50w""]"
 HS678-6,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS686-7,"[""COLOR"", ""clear crystal"", ""golden shadow crystal"", ""jet crystal""]"
 HS686-7,"[""FINISHES"", ""satin nickel""]"
 HS686-7,"[""LAMP"", ""mr16 50w""]"
 HS686-7,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS783-8,"[""COLOR"", ""clear"", ""transparent charcoal"", ""transparent light brown""]"
 HS783-8,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS783-8,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS783-8,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS782-9,"[""COLOR"", ""clear"", ""transparent charcoal"", ""transparent light brown""]"
 HS782-9,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS782-9,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS782-9,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS691-10,"[""COLOR"", ""celeste clear"", ""celeste prismatic"", ""lisa golden shadow"", ""liz clear"", ""liz golden teak"", ""liz silver night"", ""mini-celeste clear"", ""no crystal""]"
 HS691-10,"[""BODY COLOR"", ""black"", ""satin gold"", ""satin nickel""]"
 HS691-10,"[""FINISHES"", ""satin nickel""]"
 HS691-10,"[""LAMP"", ""led module 3w""]"
 HS691-10,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS778-11,"[""COLOR"", ""opal/silver""]"
 HS778-11,"[""FINISHES"", ""satin nickel""]"
 HS778-11,"[""LAMP"", ""gy6.35 xenon 35w"", ""led module 8w 80 cri 3000k""]"
 HS778-11,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS795-12,"[""COLOR"", ""clear"", ""light amber"", ""smoke""]"
 HS795-12,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS795-12,"[""LAMP"", ""gy6.35 xenon 35w"", ""led module 8w 80 cri 3000k""]"
 HS795-12,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS796-13,"[""COLOR"", ""smoke"", ""steel blue""]"
 HS796-13,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS796-13,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS796-13,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS780-14,"[""COLOR"", ""gold bubble""]"
 HS780-14,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS780-14,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS780-14,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS775-15,"[""COLOR"", ""clear w/ bronze bubbles"", ""clear w/ clear bubbles"", ""gray w/ bronze bubbles""]"
 HS775-15,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS775-15,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS775-15,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS758-16,"[""COLOR"", ""clear with gold"", ""clear with silver""]"
 HS758-16,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS758-16,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS758-16,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS759-17,"[""COLOR"", ""charcoal gray"", ""clear"", ""transparent light brown""]"
 HS759-17,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS759-17,"[""LAMP"", ""gy6.35 xenon 35w (transparent colors only); 50w (opal only)""]"
 HS759-17,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS774-18,"[""COLOR"", ""gold"", ""polished chrome"", ""rose gold""]"
 HS774-18,"[""FINISHES"", ""satin nickel""]"
 HS774-18,"[""LAMP"", ""led module 5w 3000k""]"
 HS774-18,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS762-19,"[""COLOR"", ""opal""]"
 HS762-19,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS762-19,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS762-19,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS565-20,"[""COLOR"", ""black"", ""clear"", ""smoke""]"
 HS565-20,"[""FINISHES"", ""satin nickel""]"
 HS565-20,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS565-20,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS461-21,"[""COLOR"", ""amber"", ""brown"", ""clear"", ""green"", ""smoke""]"
 HS461-21,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS461-21,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS461-21,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS549-22,"[""COLOR"", ""amber"", ""brown"", ""frost"", ""smoke""]"
 HS549-22,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS549-22,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS549-22,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS545-23,"[""COLOR"", ""amber"", ""aqua"", ""clear"", ""smoke""]"
 HS545-23,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS545-23,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS545-23,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS547-24,"[""COLOR"", ""amethyst"", ""clear"", ""dark amber"", ""smoke"", ""steel blue""]"
 HS547-24,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS547-24,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS547-24,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS586-25,"[""COLOR"", ""amethyst"", ""dark brown"", ""opal"", ""steel blue""]"
 HS586-25,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS586-25,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS586-25,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS693-26,"[""COLOR"", ""blue"", ""gray""]"
 HS693-26,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS693-26,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS693-26,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS546-27,"[""COLOR"", ""clear"", ""dark amber"", ""smoke"", ""steel blue""]"
 HS546-27,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS546-27,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS546-27,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS583-28,"[""COLOR"", ""amber"", ""blue"", ""clear""]"
 HS583-28,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS583-28,"[""LAMP"", ""gy6.35 xenon 50w""]"
 HS583-28,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS506-29,"[""COLOR"", ""amber"", ""aqua"", ""brown"", ""clear"", ""smoke""]"
 HS506-29,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS506-29,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS506-29,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS467-30,"[""COLOR"", ""amber"", ""aqua"", ""clear"", ""green"", ""smoke""]"
 HS467-30,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS467-30,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS467-30,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS688-31,"[""COLOR"", ""amber"", ""clear"", ""green"", ""orange""]"
 HS688-31,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS688-31,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS688-31,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS689-32,"[""COLOR"", ""amber"", ""clear"", ""green"", ""orange""]"
 HS689-32,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS689-32,"[""LAMP"", ""gy6.35 xenon 35w""]"
 HS689-32,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS463-33,"[""COLOR"", ""amber"", ""brown"", ""clear"", ""frost"", ""green"", ""purple"", ""smoke""]"
 HS463-33,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS463-33,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS463-33,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS462-34,"[""COLOR"", ""amber"", ""brown"", ""clear"", ""frost"", ""green"", ""purple"", ""smoke""]"
 HS462-34,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS462-34,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS462-34,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS508-35,"[""COLOR"", ""amber"", ""latte""]"
 HS508-35,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS508-35,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS508-35,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS577-36,"[""COLOR"", ""ivory"", ""opal""]"
 HS577-36,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS577-36,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS577-36,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS574-37,"[""COLOR"", ""amber"", ""brown"", ""clear"", ""steel blue""]"
 HS574-37,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS574-37,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS574-37,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS539-38,"[""COLOR"", ""clear"", ""steel blue""]"
 HS539-38,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS539-38,"[""LAMP"", ""gy6.35 xenon 50w""]"
 HS539-38,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS472-39,"[""COLOR"", ""amber"", ""blue"", ""opal""]"
 HS472-39,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS472-39,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS472-39,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS542-40,"[""COLOR"", ""ivory"", ""opal"", ""steel blue""]"
 HS542-40,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS542-40,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS542-40,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS593-41,"[""COLOR"", ""gray/dark purple"", ""ivory/brown"", ""light chocolate/brown""]"
 HS593-41,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS593-41,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS593-41,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS585-42,"[""COLOR"", ""amber/dark brown"", ""brown/gray"", ""gray/purple""]"
 HS585-42,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS585-42,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS585-42,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS621-43,"[""COLOR"", ""gray-opal""]"
 HS621-43,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS621-43,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS621-43,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS616-44,"[""COLOR"", ""gray-opal""]"
 HS616-44,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS616-44,"[""LAMP"", ""gy6.35 xenon 50w"", ""led module 8w 80 cri 3000k""]"
 HS616-44,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS604-45,"[""COLOR"", ""clear"", ""smoke""]"
 HS604-45,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS604-45,"[""LAMP"", ""mr16 50w""]"
 HS604-45,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS603-46,"[""COLOR"", ""clear"", ""smoke""]"
 HS603-46,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS603-46,"[""LAMP"", ""mr16 50w""]"
 HS603-46,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS378-47,"[""COLOR"", ""amber"", ""opal"", ""red""]"
 HS378-47,"[""FINISHES"", ""bronze"", ""polished chrome"", ""satin nickel""]"
 HS378-47,"[""LAMP"", ""g4 xenon 20w""]"
 HS378-47,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
 HS509-48,"[""COLOR"", ""amber"", ""opal"", ""red""]"
 HS509-48,"[""FINISHES"", ""bronze"", ""satin nickel""]"
 HS509-48,"[""LAMP"", ""g4 xenon 10w""]"
 HS509-48,"[""SYSTEMS"", ""2-circuit monorail"", ""fusion jack"", ""monopoint"", ""monorail""]"
